attributes.accession,attributes.bioproject,attributes.centre-name,attributes.data-origination,attributes.is-private,attributes.last-update,attributes.public-release-date,attributes.samples-count,attributes.secondary-accession,attributes.study-abstract,attributes.study-name,id,links.self,relationships.analyses.links.related,relationships.biomes.data.0.id,relationships.biomes.data.0.links.self,relationships.biomes.data.0.type,relationships.biomes.data.1.id,relationships.biomes.data.1.links.self,relationships.biomes.data.1.type,relationships.biomes.data.2.id,relationships.biomes.data.2.links.self,relationships.biomes.data.2.type,relationships.biomes.links.related,relationships.downloads.links.related,relationships.geocoordinates.links.related,relationships.publications.links.related,relationships.samples.links.related,type
MGYS00005793,PRJEB43974,EMG,SUBMITTED,false,2021-10-07T02:34:50,,4,ERP127968,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA510036, and was assembled with metaSPAdes v3.12.0. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJNA510036 data set (Fecal transplant influence on healthy volunteers).,MGYS00005793,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005793,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005793/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005793/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005793/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005793/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005793/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005793/samples,studies
MGYS00005794,PRJNA510036,RCPCM,HARVESTED,false,2021-10-07T02:17:36,,3,SRP173438,WGS metagenomics sequencing data describing fecal transplant influence on healthy voluntaries.,Fecal transplant influence on healthy volunteers,MGYS00005794,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005794,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005794/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005794/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005794/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005794/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005794/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005794/samples,studies
MGYS00005791,PRJEB43973,EMG,SUBMITTED,false,2021-10-07T02:12:16,,200,ERP127967,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA385949, and was assembled with metaSPAdes v3.12.0. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJNA385949 data set (Longitudinal Stool Study of patients with IBD and controls).,MGYS00005791,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005791,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005791/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005791/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005791/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005791/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005791/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005791/samples,studies
MGYS00005792,PRJNA385949,Broad Institute,HARVESTED,false,2021-10-06T12:12:40,,199,SRP108708,Longitudinal Stool Study of patients with IBD and controls. This project combines data from PRISM and STINKI cohorts to characterize the gut microbiome of individuals with IBD and controls over time.,Longitudinal Stool Study of patients with IBD and controls,MGYS00005792,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005792,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005792/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005792/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005792/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005792/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005792/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005792/samples,studies
MGYS00005767,PRJEB45311,EMG,SUBMITTED,false,2021-09-27T17:56:57,,6,ERP129398,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA648297, and was assembled with Flye v2.8.3. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJNA648297 data set (Remarkably low relative abundance of several Bifidobacterium species in the altered intestinal microbiota of Helicobacter pylori infected patients with gastric ulcer and gastric cancer).,MGYS00005767,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005767,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005767/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005767/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005767/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005767/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005767/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005767/samples,studies
MGYS00005768,PRJNA648297,Rajiv Gandhi Centre for Biotechnology,HARVESTED,false,2021-07-27T22:30:52,,6,SRP274074,Stool sample,Remarkably low relative abundance of several Bifidobacterium species in the altered intestinal microbiota of Helicobacter pylori infected patients with gastric ulcer and gastric cancer,MGYS00005768,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005768,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005768/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005768/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005768/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005768/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005768/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005768/samples,studies
MGYS00005762,PRJEB43818,EMG,SUBMITTED,false,2021-07-27T19:59:21,,14,ERP127786,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA508395, and was assembled with Flye v2.8.3. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJNA508395 data set (Nanopore long read assembly of the human gut metagenome).,MGYS00005762,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005762,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005762/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005762/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005762/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005762/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005762/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005762/samples,studies
MGYS00005763,PRJNA508395,Stanford University,HARVESTED,false,2021-07-27T19:20:40,,13,SRP178190,"Long read sequencing assembly of three healthy human gut microbiome samples, with multiple closed bacterial genomes including Prevotella copri.",Nanopore long read assembly of the human gut metagenome,MGYS00005763,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005763,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005763/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005763/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005763/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005763/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005763/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005763/samples,studies
MGYS00005755,PRJNA510730,University of Rome Tor Vergata,HARVESTED,false,2021-06-28T16:49:35,,202,SRP173877,"In recent years, the hypothesis that gut microbiota associates with Parkinson's disease is growing, although a specific composition cannotbe taken as a predictive biomarker of this disease. Our main objective was to investigate dysbiosis of gut microbiota in a selected population of Parkinson's disease patients from center-south of Italy.",Microbiota composition of Parkinson's disease patients in southern Italy,MGYS00005755,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/samples,studies
MGYS00005742,PRJDB5860,"Lab. of Microbial Technology, Faculty of Agriculture, Kyushu University",HARVESTED,false,2021-06-07T13:48:32,,158,DRP004306,"Asia differs substantially among and within its regions populated by diverse ethnic groups, which maintain their own respective cultures and dietary habits. On the other hand, Oriental and Western cultures are now merging at many sites in Asia and affecting our life style, especially daily diets. To inquire into diversity in gut microbiota of Asian people, which must respond to daily diets and link to host health, Asian Microbiome Project (AMP) was established in 2009. AMP aims to build a basal microbiome database of Asians covering entire region and age group and gain an insight into the link between life style and gut microbiota. By sharing information and gained knowledge obtained in this project, we hope to promote health of Asian people.",Asian Microbiome Project,MGYS00005742,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005742,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005742/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005742/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005742/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005742/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005742/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005742/samples,studies
MGYS00005729,PRJEB42466,LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE,SUBMITTED,false,2021-03-31T16:25:26,,3,ERP126326,"Metaproteomics has substantially matured over the past years as a powerful tool to assess functional interactions in microbial communities. A wide variety of metaproteomic workflows is available, yet their impact on the results remains to be established.Here, we carried out the first community-driven, multi-lab comparison in metaproteomics: the critical assessment of metaproteome investigation study (CAMPI). Based on well-established workflows, we evaluated the influence of sample preparation, mass spectrometry, and bioinformatic analysis using two samples: a simplified, lab-assembled human intestinal model and a human fecal sample.Although bioinformatic pipelines contributed to variability in peptide identification, wet-lab stages were the most important source of differences between analyses. Moreover, protein groups were less sensitive to those differences than peptides. Comparing taxonomic and functional profiles revealed differences between peptide- and protein-centric approaches at the taxonomic level but very similar functional profiles.These CAMPI findings present the current opportunities and challenges in metaproteomics research and provide a perspective for future benchmarking studies.",Critical Assessment of Metaproteome Investigation (CAMPI): a Multi-Lab Comparison of Established Workflows,MGYS00005729,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005729,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005729/analyses,root:Engineered:Modeled:Simulated communities (microbial mixture),https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Modeled:Simulated%20communities%20(microbial%20mixture),biomes,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005729/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005729/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005729/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005729/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005729/samples,studies
MGYS00005702,PRJEB42213,EMG,SUBMITTED,false,2021-02-10T20:46:49,,121,ERP126051,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA389280, and was assembled with metaSPAdes v3.14.1. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJNA389280 data set (Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)).,MGYS00005702,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005702,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005702/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005702/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005702/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005702/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005702/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005702/samples,studies
MGYS00005684,PRJEB41785,EMG,SUBMITTED,false,2020-12-24T13:25:35,,33,ERP125620,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA628604, and was assembled with metaSPAdes v3.14.1. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJNA628604 data set (Oral capsulized Fecal microbiota transplantation for eradication of carbapenemase-producing Enterobacteriaceae colonization with a metagenomic perspective).,MGYS00005684,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005684,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005684/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005684/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005684/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005684/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005684/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005684/samples,studies
MGYS00005685,PRJNA628604,Technion - Israel Institute of Technology,HARVESTED,false,2020-12-24T09:39:11,,31,SRP258728,Carbapenemase-producing Enterobacteriaceae (CPE) infections lead to considerable morbidity and mortality. We assessed the potential of fecal microbiota transplantation (FMT) to eradicate CPE carriage and to explain failure or success through microbiome analyses.,Oral capsulized Fecal microbiota transplantation for eradication of carbapenemase-producing Enterobacteriaceae colonization with a metagenomic perspective,MGYS00005685,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005685,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005685/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005685/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005685/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005685/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005685/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005685/samples,studies
MGYS00005657,PRJEB41181,EMG,SUBMITTED,false,2020-11-24T18:35:50,,15,ERP124921,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB19090, and was assembled with metaSPAdes v3.14.1. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJEB19090 data set (Potential and active functions in the gut microbiota of a healthy human cohort).,MGYS00005657,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005657,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005657/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005657/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005657/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005657/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005657/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005657/samples,studies
MGYS00005619,PRJEB39906,EMG,SUBMITTED,false,2020-11-10T23:08:23,,72,ERP123477,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB8094, and was assembled with metaSPAdes v3.13.0. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal,root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon.",EMG produced TPA metagenomics assembly of PRJEB8094 data set (The initial state of the human gut microbiome determines its reshaping by antibiotics).,MGYS00005619,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005619,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005619/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005619/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005619/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005619/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005619/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005619/samples,studies
MGYS00005601,PRJEB30615,Furtwangen University,SUBMITTED,false,2020-10-19T10:42:56,,260,ERP113090,"Parkinsons disease (PD) is one of the most common neurodegenerative disorders. It has been repeatedly reported that most patients with PD suffer from gastrointestinal dysfunctions and alterations of the autonomous nervous system in the gut wall called the enteric nervous system (ENS). Such alterations and functional gastrointestinal deficits might occur years before the classical clinical symptoms of PD appear. Until now, only little is known about PD-associated changes in gut microbiota composition and their implication in PD development. Due to variance in previously published reports about the differences between community composition in PD and non-PD patients, our intention is to increase knowledge in this field with the use of two next generation sequencing (NGS) methods (Illumina MiSeq and Ion Torrent PGM) on the same set of samples. The V4 and V5 hypervariable region of bacterial 16S rRNA genes was PCR-amplified from stool samples of 39 PD patients and 25 healthy, age-matched control persons, respectively. Illumina- and Ion Torrent- based sequencing yielded divergent as well as congruent results regarding the bacterial microbiota composition of PD and control samples.Bacterial taxa with differences in relative abundance between PD and control samples that were traceable with both sequencing techniques might play a role for supporting PD diagnosis and therapy.",Identification of Intestinal Bacterial Taxa with a Potential Role in Parkinsons Disease using Illumina MiSeq and Ion Torrent Next Generation Sequencing,MGYS00005601,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005601,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005601/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005601/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005601/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005601/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005601/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005601/samples,studies
MGYS00005594,PRJNA649273,University of Western Ontario,HARVESTED,false,2020-09-07T20:32:49,,61,SRP276112,Metagenomic sequencing of the gut from kidney stone patients and healthy controls,Kidney stone patient microbiome,MGYS00005594,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005594,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005594/analyses,root:Host-associated:Human:Digestive system,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005594/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005594/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005594/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005594/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005594/samples,studies
MGYS00005591,PRJEB39250,VETERINARY Faculty,SUBMITTED,false,2020-08-20T17:46:41,,100,ERP122744,"Gastrointestinal strongyles are a major threat to horses health and welfare. Given that strongyles inhabit the same niche as the gut microbiota, they may interact with each other. These beneficial or detrimental interactions are unknown in horses and could partly explain contrasted susceptibility to infection between individuals. To address these questions, an experimental pasture trial with 20 worm-free female Welsh ponies (10 susceptible (S) and 10 resistant (R) to parasite infection) was implemented for 5 months. Fecal egg counts (FEC), hematological and biochemical data, body weight and gut microbiological composition were studied in each individual after 0, 24, 43, 92 and 132 grazing days. R and S ponies displayed divergent immunological profiles and slight differences in microbiological composition under worm-free conditions. After exposure to natural infection, the predicted R ponies exhibited lower FEC after 92 and 132 grazing days, and maintained higher levels of circulating monocytes and eosinophils, while lymphocytosis persisted in S ponies. Although the overall gut microbiota diversity and structure remained similar during the parasite infection between the two groups, S ponies exhibited a reduction of bacteria such as Ruminococcus, Clostridium XIVa and members of the Lachnospiraceae family, which may have promoted a disruption of mucosal homeostasis at day 92. In line with this hypothesis, an increase in pathobionts such as Pseudomonas and Campylobacter together with changes in several predicted immunological pathways, including pathogen sensing, lipid metabolism, and activation of signal transduction that are critical for the regulation of immune system and energy homeostasis were observed in S relative to R ponies. Moreover, S ponies displayed an increase in protozoan concentrations at day 92, suggesting that strongyles and protozoa may contribute to each others success in the equine intestines. It could also be that S individuals favor the increase of these carbohydrate-degrading microorganisms to enhance the supply of nutrients needed to fight strongyle infection. Overall, this study provides a foundation to better understand the mechanisms that underpin the relationship between equines and natural strongyle infection. The profiling of horse immune response and gut microbiota should contribute to the development of novel biomarkers for strongyle infection. Authors: Allison Clark, Guillaume Salle, Valentine Ballan, Fabrice Reigner, Annabelle Meynadier, Jacques Cortet, Christine Koch, Mickael Riou, Alexandra Blanchard, Nuria Mach",Strongyle Infection and Gut Microbiota: Profiling of Resistant and Susceptible Horses Over a Grazing Season,MGYS00005591,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005591,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005591/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005591/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005591/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005591/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005591/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005591/samples,studies
MGYS00005583,PRJNA177883,Texas A&M University,HARVESTED,false,2020-08-14T14:57:18,,18,SRP017459,Microflora of the Equine Hindgut.  This project is pyrosequencing bacterial 16S rRNA amplicons from horse fecal and cecal samples to examine the microflora in the equine hindgut.,equine gut metagenome Targeted Locus,MGYS00005583,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005583,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005583/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005583/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005583/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005583/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005583/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005583/samples,studies
MGYS00005259,PRJNA428736,mothur,HARVESTED,false,2020-06-21T08:51:46,,914,SRP128128,Human gut microbiota composition and SCFA concentrations in response to prebiotic fiber supplementation in young adults.,Dynamics of human gut microbiota and metabolites in response to prebiotic interventions,MGYS00005259,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005259,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005259/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005259/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005259/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005259/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005259/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005259/samples,studies
